Title,URL,Summary,Entry_ID,Published_Date,Full_Content,Categories,Author,Keywords,Sentiment,Readability_Score,Engagement_Score,Processed,Engagement_Type,Response_Received
AI Can Give You an NPC That Remembers. It Could Also Get Your Favorite Artist Fired,https://www.wired.com/story/ai-game-design-midjourney-ethics-development/,"As game developers wrestle with the challenges and opportunities of incorporating AI tools across the industry, those same tools continue to increase in complexity.",64c82f038ca7067a92af1817,"Mon, 07 Aug 2023 12:00:00 +0000",No Content,"Business, Business / Artificial Intelligence, Culture, Culture / Video Games, AI Hub, AI Hub / Sector / Games, AI Hub / Application / Games, video games, gaming culture, artificial intelligence, Online Gaming, developers, Ubisoft, Welcome Adventurer",Fernanda Seavon,"Neural Networks, NLP",Negative,33.95,328,True,Commented,Not Engaged
Apps Are Rushing to Add AI. Is Any of It Useful?,https://www.wired.com/story/is-in-app-ai-useful/,The AI gold rush has thrust services like ChatGPT into every aspect of our digital lives. That still won’t solve your email problems.,64c44aa3c30f50376ee87757,"Fri, 04 Aug 2023 11:00:00 +0000",No Content,"Gear, Gear / How To and Advice, Business / Artificial Intelligence, AI Hub, AI Hub / End User, ChatGPT, artificial intelligence, productivity, Work, communication, Robo Call",Justin Pot,"Transformers, AI Ethics",Negative,71.94,781,False,Commented,Not Engaged
Please Stop Asking Chatbots for Love Advice,https://www.wired.com/story/please-stop-asking-chatbots-for-love-advice/,"We get it, relationships are hard. But asking ChatGPT how to do emotions is not going to work. Here are some better ideas.",64aed5ae82d37ced55dff711,"Sat, 22 Jul 2023 11:00:00 +0000",No Content,"Culture, Culture / Digital Culture, AI Hub / End User / Consumer, Gear / How To and Advice, Business / Artificial Intelligence, mental health, psychology, artificial intelligence, relationships, LoveGPT",Sarah Gundle,"Transformers, AI Ethics",Neutral,30.57,266,False,None,Engaged
How AI Can Make Gaming Better for All Players,https://www.wired.com/story/ai-make-gaming-better-accessibility/,"If used responsibly, artificial intelligence has the potential to both make gaming more accessible and to actively learn what individuals need.",649b2dd14a854832b16fd25e,"Mon, 10 Jul 2023 11:00:00 +0000",No Content,"Business, Business / Artificial Intelligence, Wired 30, AI Hub, AI Hub / Technology / Machine learning, AI Hub / Technology / Natural language processing, AI Hub / Application / Games, Culture, Culture / Video Games, Gear, artificial intelligence, video games, gaming culture, accessibility, developers, WIRED30",Geoffrey Bunting,"Neural Networks, NLP",Positive,45.1,728,True,None,Engaged
5 Uses for ChatGPT that Aren’t Fan Fiction or Cheating at School,https://www.wired.com/story/5-surprising-uses-chatgpt/,"Chatbots are great for lots of things, but these ones may be unexpected.",648220bfeb3f06fa8140cf40,"Wed, 05 Jul 2023 12:00:00 +0000",No Content,"Gear, Gear / How To and Advice, AI Hub, AI Hub / End User, Business / Artificial Intelligence, ChatGPT, artificial intelligence, learning, tips, Surprisingly Helpful",Justin Pot,"LLM, Deep Learning",Negative,56.04,859,False,Liked,Not Engaged
Generative AI in Games Will Create a Copyright Crisis,https://www.wired.com/story/video-games-ai-copyright/,Titles like AI Dungeon are already using generative AI to generate in-game content. Nobody knows who owns it.,64a43fe7d96882f74caa3fc7,"Tue, 04 Jul 2023 15:57:01 +0000",No Content,"Culture, Culture / Video Games, Business / Artificial Intelligence, AI Hub, AI Hub / Application, AI Hub / Application / Games, AI Hub / Application / Regulation, AI Hub / Sector / Games, Minecraft, video games, developers, OpenAI, ChatGPT, gaming culture, You Died",Will Bedingfield,"Transformers, AI Ethics",Negative,38.53,405,True,None,Not Engaged
How to Tackle AI—and Cheating—in the Classroom,https://www.wired.com/story/how-to-tackle-ai-and-cheating-in-schools-classroom/,"What one educator wants students, teachers, and everyone else to know about the ethics of using of AI in education.",6493912982d37ced55dff5f3,"Wed, 28 Jun 2023 12:00:00 +0000",No Content,"Business, Business / Artificial Intelligence, Gear, Gear / How To and Advice, AI Hub, AI Hub / End User, AI Hub / End User / Consumer, AI Hub / End User / Research, education, artificial intelligence, learning, STEM, ethics, TeachGPT",Christina Wyman,"Autonomous Systems, AGI",Neutral,31.28,250,False,Shared,Engaged
All the Ways ChatGPT Can Help You Land a Job,https://www.wired.com/story/chatgpt-google-bard-bing-ai-help-find-job/,"Whether you use ChatGPT, Bard, or Bing, your favorite AI chatbots can help your application stand out from the crowd.",648126ef20abe9537824f793,"Thu, 08 Jun 2023 12:00:00 +0000",No Content,"Gear, Gear / How To and Advice, Business, Business / Artificial Intelligence, Business / Tech Culture, AI Hub, AI Hub / End User, AI Hub / End User / Consumer, artificial intelligence, ChatGPT, Jobs, future of work, chatbots, Machine Earning",David Nield,"Neural Networks, NLP",Neutral,59.72,272,True,Liked,Not Engaged
I Finally Bought a ChatGPT Plus Subscription—and It’s Worth It,https://www.wired.com/story/chatgpt-plus-web-browsing-openai/,OpenAI’s new web browsing beta convinced me to upgrade my account. Here’s how to access it and make the most of the paid tier.,64633d71c3f2cf2daf39fa61,"Fri, 19 May 2023 11:00:00 +0000",No Content,"Gear, Gear / How To and Advice, AI Hub, AI Hub / End User, AI Hub / Application, AI Hub / Application / Personal assistant, AI Hub / Application / Personal services, AI Hub / Application / Text generation, AI Hub / End User / Consumer, Business, Business / Artificial Intelligence, artificial intelligence, chatbots, OpenAI, ChatGPT, websites, search engines, subscriptions, Clicking Around",Reece Rogers,"Autonomous Systems, AGI",Negative,53.75,923,True,Shared,Not Engaged
6 Tips for Using ChatGPT to Brainstorm Better,https://www.wired.com/story/how-to-use-chatgpt-brainstorm-ai/,Artificial intelligence can be a font of inspiration. Here’s how to use OpenAI’s AI chatbot the next time you’re spitballing ideas.,6439c96064e2a2ec42a8959e,"Thu, 27 Apr 2023 12:00:00 +0000",No Content,"Business, Business / Artificial Intelligence, Gear / How To and Advice, AI Hub, AI Hub / End User, Gear, ChatGPT, productivity, how-to, artificial intelligence, OpenAI, chatbots, Think Big",Reece Rogers,"Transformers, AI Ethics",Positive,78.74,760,False,Commented,Not Engaged
